epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,,,0.6111111044883728,1.0555187463760376
0,4,,,0.39436620473861694,,1.0960063934326172,,,
1,9,,,,,,,0.6111111044883728,0.9790840148925781
1,9,,,0.5211267471313477,,1.028026819229126,,,
2,14,,,,,,,0.7222222089767456,0.907629668712616
2,14,,,0.7112675905227661,,0.9311918020248413,,,
3,19,,,,,,,0.8333333134651184,0.8422583937644958
3,19,,,0.7816901206970215,,0.8705675601959229,,,
4,24,,,,,,,0.8333333134651184,0.7812511920928955
4,24,,,0.8661971688270569,,0.7894458770751953,,,
5,29,,,,,,,0.8333333134651184,0.7239989042282104
5,29,,,0.9154929518699646,,0.736228346824646,,,
6,34,,,,,,,0.8333333134651184,0.669036328792572
6,34,,,0.9295774698257446,,0.6910300850868225,,,
7,39,,,,,,,0.9444444179534912,0.6177408695220947
7,39,,,0.9366196990013123,,0.6278676986694336,,,
8,44,,,,,,,1.0,0.5701369643211365
8,44,,,0.9507042169570923,,0.5740103721618652,,,
9,49,,,,0.8571428656578064,,0.5374795794487,,
9,49,,,,,,,1.0,0.5257635116577148
9,49,,,0.9577465057373047,,0.5230938196182251,,,
10,50,0.8888888955116272,0.44805908203125,,,,,,
