epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,,,0.2777777910232544,1.0433049201965332
0,4,,,0.31690141558647156,,1.1405268907546997,,,
1,9,,,,,,,0.6111111044883728,0.9630482196807861
1,9,,,0.4647887349128723,,1.029873013496399,,,
2,14,,,,,,,0.7222222089767456,0.8885499835014343
2,14,,,0.6478873491287231,,0.951801598072052,,,
3,19,,,,,,,0.8333333134651184,0.8199803233146667
3,19,,,0.7464788556098938,,0.8935838937759399,,,
4,24,,,,,,,0.8888888955116272,0.756331205368042
4,24,,,0.8380281925201416,,0.8150764107704163,,,
5,29,,,,,,,0.8888888955116272,0.6976069211959839
5,29,,,0.8943662047386169,,0.748430073261261,,,
6,34,,,,,,,0.9444444179534912,0.6437022089958191
6,34,,,0.908450722694397,,0.6958390474319458,,,
7,39,,,,,,,1.0,0.5938938856124878
7,39,,,0.9436619877815247,,0.621725857257843,,,
8,44,,,,,,,1.0,0.5475417375564575
8,44,,,0.9507042169570923,,0.5676088929176331,,,
9,49,,,,1.0,,0.4829905331134796,,
9,49,,,,,,,1.0,0.5059399604797363
9,49,,,0.9507042169570923,,0.5353171229362488,,,
10,50,0.9444444179534912,0.43770816922187805,,,,,,
