epoch,step,train_acc_epoch,train_acc_step,train_accuracy_epoch,train_accuracy_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,22,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,2.1228466033935547,0.3611111044883728,0.3611111044883728
0,22,0.18333333730697632,,0.18333333730697632,,0.18333333730697632,,2.2337162494659424,,0.18333333730697632,,0.18333333730697632,,,,,,,
1,45,,,,,,,,,,,,,0.3055555522441864,0.3055555522441864,0.3055555522441864,2.0110578536987305,0.3055555522441864,0.3055555522441864
1,45,0.3125,,0.3125,,0.3125,,2.066915273666382,,0.3125,,0.3125,,,,,,,
2,49,,0.34375,,0.34375,,0.34375,,2.016963005065918,,0.34375,,0.34375,,,,,,
2,68,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.9245257377624512,0.3611111044883728,0.3611111044883728
2,68,0.3097222149372101,,0.3097222149372101,,0.3097222149372101,,1.9688994884490967,,0.3097222149372101,,0.3097222149372101,,,,,,,
3,91,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.8506191968917847,0.3611111044883728,0.3611111044883728
3,91,0.3222222328186035,,0.3222222328186035,,0.3222222328186035,,1.8757507801055908,,0.3222222328186035,,0.3222222328186035,,,,,,,
4,99,,0.4375,,0.4375,,0.4375,,1.7448400259017944,,0.4375,,0.4375,,,,,,
4,114,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.7932864427566528,0.3611111044883728,0.3611111044883728
4,114,0.3402777910232544,,0.3402777910232544,,0.3402777910232544,,1.7920154333114624,,0.3402777910232544,,0.3402777910232544,,,,,,,
5,137,,,,,,,,,,,,,0.4166666567325592,0.4166666567325592,0.4166666567325592,1.740251064300537,0.4166666567325592,0.4166666567325592
5,137,0.35972222685813904,,0.35972222685813904,,0.35972222685813904,,1.740049123764038,,0.35972222685813904,,0.35972222685813904,,,,,,,
